name,id,coordinates,dataset,comments
Skittentind,9146253,"69.67566,18.44251",geonames,"Listed name: Skittentinden."
Kvaløya,9063756,"69.57589,18.36649",geonames,""
Tromsø,6453316,"69.64961,18.95702",geonames,""
Kattfjordeidet,382543,"69.649100,18.498131",stedsnavn,""
Skittentinden,9146253,"69.67566,18.44251",geonames,"Same toponym as first entry, but with different name."
Trollskardvatnet,9335343,"69.66599, 18.4558",geonames,""
Harstad,3153823,"68.79833,16.54165",geonames,""
Banak,780748,"70.06691,24.97863",geonames,"Multiple geonames entries that refer to this toponym."
Kjølen,3150040,"69.72882,18.77273",geonames,"Somewhat uncertain if this is the correct toponym."
Langnes,3148375,"69.66667,18.91667",geonames,""
Tromsøya,3133894,"69.66761,18.9258",geonames,""
Nord-Norge,976106,"68.484933,16.229787",stedsnavn,""
