name,id,coordinates,dataset,comments
Skien,6453383,"59.20748,9.61052",geonames,""
Telemark,3134723,"59.2161,9.6112",geonames,""
Norge,3144096,"62,10",geonames,""
Italia,3175395,"42.83333,12.83333",geonames,""
Tyskland,2921044,"51.5,10.5",geonames,""
Roma,3169070,"41.89193,12.51133",geonames,""
Dresden,2935022,"51.05089,13.73832",geonames,""
München,2867714,"48.13743,11.57549",geonames,""
Christiania,3143244,"59.91273,10.74609",geonames,""
Stockmanngården,0,"",none,""
Christianskirken,0,"",none,""
Rising,9484323,"59.22757,9.59553",geonames,""
Altenburggården,0,"",none,""
Hesnes,9496643,"58.34458, 8.63856",none,""
Lævestrædet,0,"",none,""
Lundetangen,536393,"59.306729,8.70489",stedsnavn,""
Venstøp,9483410,"59.23939,9.57783",geonames,""
Europa,6255148,"48.69096,9.14062",geonames,""
Gjerpen,3155687,"59.23333,9.65",geonames,""
Grimstad,3155041,"58.3405,8.59343",geonames,""
Snipetorp,0,"",none,""
Bergen,3161732,"60.39299,5.32415",geonames,""
København,2618425,"55.67594,12.56553",geonames,""
Det norske Theater,0,"",none,""
Ulriken,3133359,"60.37747, 5.38713",geonames,""
Møllergaten,996685,"59.912430,10.744069",stedsnavn,"Listed name: Møllergata. Will not be retrieved with entity name"
Gudbrandsdalen,3154573,"62,9.23333",geonames,""
Lom,3147026,"61.83772,8.56842",geonames,""
Sogn,3137977,"61.08333,6.83333",geonames,"Region"
Sunnmøre,3135372,"62.33333,6.66667",geonames,"Region"
Romsdal,8998303,"62.72551,7.80423",geonames,"Region"
Eidsvoll,3158608,"60.3311,11.26264",geonames,""
Mjøsa,3145748,"60.66667,11",geonames,"There are two entries on geonames that both refer to the same lake, but in different administrative areas. The scond has the id: 9151884"
Lillehammer,3147474,"61.11514,10.46628",geonames,""
Sognefjellet,23309,"61.563872,7.89005",stedsnavn,"Listed name: Dølafjell"
Bøverdalen,3160468,"61.8,8.45",geonames,""
Skjolden,3138791,"61.49096,7.60009",geonames,""
Hardanger,3153874,"60.33333,6.5",geonames,""
Breimsvatnet,3160153,"61.73383,6.36156",geonames,"Other valid entry: 9040058"
Tresfjorden,7909883,"62.58583, 7.12575N",geonames,"Other valid entry: 3134022"
Fortun stavkirke,0,"",none,"This is a reference to a torn down church. While there are entries for a Fortun church in geonames, these seem to be of a modern church, and not the historical one"
Fantoft,3157819,"60.3448,5.35088",geonames,""
Vadheim,3133106,"61.20909,5.82528",geonames,""
Sunnfjord,12110616,"61.46985,6.11353",geonames,"Might also refer to the region with the same name and id: 3135374"
Nordfjord,3144372,"61.83333,6.25",geonames,"Region"
Jølster,3150821,"61.56923,6.48351",geonames,""
Utvik,555074,"61.806422,6.519175",stedsnavn,"Geonames has an entry for a church in the relevant place, but not an entry for the place itself. The church entry has id: 3133128"
Faleide,3157866,"61.88877,6.6174",geonames,""
Stryn,3135597,"61.90406,6.724",geonames,""
Hornindal,3151810,"61.96925,6.52249",geonames,""
Hellesylt,3153057,"62.08549,6.86769",geonames,""
Solnør,3137788,"62.48798,6.73038",geonames,""
Moldegård,9431693,"62.73769,7.18101",geonames,""
Molde,3145580,"62.73752,7.15912",geonames,""
Herøy,6453340,"62.33333,5.63598",geonames,"Not entirely certain if this is the actual toponym in question"
Vestnes,3345453,"62.62544,7.08696",geonames,""
Fortun,68261,"61.495093,7.688784",stedsnavn,"Has no geonames entry for the place itself, only a farm and church"
Skagastølstindene,3139467,"61.46436,7.87393",geonames,"All references to this place use the name Skagastølstindane. No results are found with the given entity name"
Venezia,3164603,"45.43713,12.33265",geonames,""
Napoli,3172394,"40.85216,14.26811",geonames,""
Campania,3181042,"40.91056,14.92053",geonames,""
Amalfikysten,11127999,"40.6311,14.60398",geonames,"No results in geonames or stedsnavn for the given entity name"
Sorrento,3166350,"40.62678,14.37771",geonames,""
Ischia,3175455,"40.72945,13.90572",geonames,""
Casamicciola,3180125,"40.74804, 13.90483",geonames,""
Lazio,3174976,"42.07762,12.77878",geonames,""
Pompeii,3170336,"40.75,14.48333",geonames,""
Capri,3180629,"40.54997,14.22652",geonames,""
