name,id,coordinates,dataset,comments
Norge,3144096,"62,10",geonames,""
Tromsøysundtunnelen,1081180,"69.683724,18.988586",stedsnavn,""
Hanekleivtunnelen,11998867,"59.57147,10.18093",geonames,""
Oslofjordtunnelen,86382,"59.662568,10.569231",stedsnavn,""
Gudvangatunnelen,21401,"60.879767,6.846965",stedsnavn,"Stedsnavn entry 1052396 is also a toponym with this name. It almost has the same exact coordinates as the one referred to here, so they are assumed to be the same."
Follotunnelen,226457,"59.535327,10.728139",stedsnavn,""
E6,1079716,"59.631985,10.737745",stedsnavn,"Stedsnavn has many entries for this road, seemingly dependant on which part of it is being referred to."
Akershus,3163480,"60,11.16667",geonames,""
Hyvingstunnelen,408525,"60.627096,5.911594",stedsnavn,""
Hordaland,3151864,"60.3867,5.3325",geonames,""
E16,0,"",none,""
Mellom-Europa,12217848,"50.28762,15.1903",geonames,"This is the geonames entry for Central Europe."
Mont Blanc tunnelen,3173055,"45.86667,6.9",geonames,""
Tauern tunnelen,12266736,"47.0762,13.13566",geonames,""
St. Gotthart tunnelen,2660546,"46.51667,8.61667",geonames,""
Tromsøysundtunnelen,1081180,"69.683724,18.988586",stedsnavn,""
Vassendatunnelen,107144,"60.646967,6.007437",stedsnavn,""
Amlatunnelen,870500,"61.179920,7.301858",stedsnavn,""
Naustdaltunnelen,816334,"61.564517,5.666800",stedsnavn,""
